,precision,recall,f1-score,support
AKIEC,0.7222222222222222,0.6046511627906976,0.6582278481012658,43.0
BCC,0.8604651162790697,0.7956989247311828,0.8268156424581006,93.0
BKL,0.8497409326424871,0.7557603686635944,0.8,217.0
DF,0.90625,0.6590909090909091,0.7631578947368421,44.0
MEL,0.6890243902439024,0.6608187134502924,0.6746268656716418,171.0
NV,0.8992805755395683,0.9625962596259626,0.9298618490967057,909.0
VASC,0.8214285714285714,0.6571428571428571,0.7301587301587301,35.0
accuracy,0.8624338624338624,0.8624338624338624,0.8624338624338624,0.8624338624338624
macro avg,0.8212016869079743,0.7279655993564995,0.7689784043176122,1512.0
weighted avg,0.859369581779169,0.8624338624338624,0.8588212764548219,1512.0
